region,division,state,Population_2022,page_title,url,rev_id,quality
Northeast,New England,Maine,1385340.0,"Belgrade, Maine","https://en.wikipedia.org/wiki/Belgrade,_Maine",1179493769,C
Northeast,New England,Maine,1385340.0,"Belmont, Maine","https://en.wikipedia.org/wiki/Belmont,_Maine",1166015358,Start
Northeast,New England,Maine,1385340.0,"Benton, Maine","https://en.wikipedia.org/wiki/Benton,_Maine",1178752016,Start
Northeast,New England,Maine,1385340.0,"Berwick, Maine","https://en.wikipedia.org/wiki/Berwick,_Maine",1163121731,C
Northeast,New England,Maine,1385340.0,"Bethel, Maine","https://en.wikipedia.org/wiki/Bethel,_Maine",1175379508,C
Northeast,New England,Maine,1385340.0,"Biddeford, Maine","https://en.wikipedia.org/wiki/Biddeford,_Maine",1179427727,GA
Northeast,New England,Maine,1385340.0,"Bingham, Maine","https://en.wikipedia.org/wiki/Bingham,_Maine",1174508835,GA
Northeast,New England,Maine,1385340.0,"Blaine, Maine","https://en.wikipedia.org/wiki/Blaine,_Maine",1174508941,C
Northeast,New England,Maine,1385340.0,"Blue Hill, Maine","https://en.wikipedia.org/wiki/Blue_Hill,_Maine",1174508976,C
Northeast,New England,Maine,1385340.0,"Boothbay, Maine","https://en.wikipedia.org/wiki/Boothbay,_Maine",1171733474,C
Northeast,New England,Maine,1385340.0,"Boothbay Harbor, Maine","https://en.wikipedia.org/wiki/Boothbay_Harbor,_Maine",1171733345,C
Northeast,New England,Maine,1385340.0,"Bowdoin, Maine","https://en.wikipedia.org/wiki/Bowdoin,_Maine",1174509001,C
Northeast,New England,Maine,1385340.0,"Bowdoinham, Maine","https://en.wikipedia.org/wiki/Bowdoinham,_Maine",1166016065,C
Northeast,New England,Maine,1385340.0,"Bowerbank, Maine","https://en.wikipedia.org/wiki/Bowerbank,_Maine",1174509018,Start
Northeast,New England,Maine,1385340.0,"Bradford, Maine","https://en.wikipedia.org/wiki/Bradford,_Maine",1174509028,C
Northeast,New England,Maine,1385340.0,"Bradley, Maine","https://en.wikipedia.org/wiki/Bradley,_Maine",1166016143,Start
Northeast,New England,Maine,1385340.0,"Bremen, Maine","https://en.wikipedia.org/wiki/Bremen,_Maine",1166016226,C
Northeast,New England,Maine,1385340.0,"Brewer, Maine","https://en.wikipedia.org/wiki/Brewer,_Maine",1165537004,GA
Northeast,New England,Maine,1385340.0,"Bridgewater, Maine","https://en.wikipedia.org/wiki/Bridgewater,_Maine",1174509111,C
Northeast,New England,Maine,1385340.0,"Bridgton, Maine","https://en.wikipedia.org/wiki/Bridgton,_Maine",1167492887,C
Northeast,New England,Maine,1385340.0,"Brighton Plantation, Maine","https://en.wikipedia.org/wiki/Brighton_Plantation,_Maine",1174509205,Start
Northeast,New England,Maine,1385340.0,"Bristol, Maine","https://en.wikipedia.org/wiki/Bristol,_Maine",1170895430,C
Northeast,New England,Maine,1385340.0,"Brooklin, Maine","https://en.wikipedia.org/wiki/Brooklin,_Maine",1178507123,C
Northeast,New England,Maine,1385340.0,"Brooks, Maine","https://en.wikipedia.org/wiki/Brooks,_Maine",1174509239,Start
Northeast,New England,Maine,1385340.0,"Brooksville, Maine","https://en.wikipedia.org/wiki/Brooksville,_Maine",1166928437,C
Northeast,New England,Maine,1385340.0,"Brownfield, Maine","https://en.wikipedia.org/wiki/Brownfield,_Maine",1177210335,C
Northeast,New England,Maine,1385340.0,"Brownville, Maine","https://en.wikipedia.org/wiki/Brownville,_Maine",1177501989,C
Northeast,New England,Maine,1385340.0,"Brunswick, Maine","https://en.wikipedia.org/wiki/Brunswick,_Maine",1177489899,C
Northeast,New England,Maine,1385340.0,"Buckfield, Maine","https://en.wikipedia.org/wiki/Buckfield,_Maine",1174681280,C
Northeast,New England,Maine,1385340.0,"Bucksport, Maine","https://en.wikipedia.org/wiki/Bucksport,_Maine",1155864013,C
Northeast,New England,Maine,1385340.0,"Burlington, Maine","https://en.wikipedia.org/wiki/Burlington,_Maine",1174509336,C
Northeast,New England,Maine,1385340.0,"Burnham, Maine","https://en.wikipedia.org/wiki/Burnham,_Maine",1174509357,Start
Northeast,New England,Maine,1385340.0,"Buxton, Maine","https://en.wikipedia.org/wiki/Buxton,_Maine",1164575992,GA
Northeast,New England,Maine,1385340.0,"Byron, Maine","https://en.wikipedia.org/wiki/Byron,_Maine",1174509366,C
Northeast,New England,Maine,1385340.0,"Calais, Maine","https://en.wikipedia.org/wiki/Calais,_Maine",1169372673,C
Northeast,New England,Maine,1385340.0,"Cambridge, Maine","https://en.wikipedia.org/wiki/Cambridge,_Maine",1174509381,Start
Northeast,New England,Maine,1385340.0,"Camden, Maine","https://en.wikipedia.org/wiki/Camden,_Maine",1178427604,C
Northeast,New England,Maine,1385340.0,"Canaan, Maine","https://en.wikipedia.org/wiki/Canaan,_Maine",1174509407,Start
Northeast,New England,Maine,1385340.0,"Canton, Maine","https://en.wikipedia.org/wiki/Canton,_Maine",1174509438,C
Northeast,New England,Maine,1385340.0,"Cape Elizabeth, Maine","https://en.wikipedia.org/wiki/Cape_Elizabeth,_Maine",1172706879,C
Northeast,New England,Maine,1385340.0,"Caratunk, Maine","https://en.wikipedia.org/wiki/Caratunk,_Maine",1157073815,GA
Northeast,New England,Maine,1385340.0,"Caribou, Maine","https://en.wikipedia.org/wiki/Caribou,_Maine",1175503554,C
Northeast,New England,Maine,1385340.0,"Carmel, Maine","https://en.wikipedia.org/wiki/Carmel,_Maine",1166017291,C
Northeast,New England,Maine,1385340.0,"Carrabassett Valley, Maine","https://en.wikipedia.org/wiki/Carrabassett_Valley,_Maine",1174509456,Start
Northeast,New England,Maine,1385340.0,"Carroll Plantation, Maine","https://en.wikipedia.org/wiki/Carroll_Plantation,_Maine",1174509508,Start
Northeast,New England,Maine,1385340.0,"Carthage, Maine","https://en.wikipedia.org/wiki/Carthage,_Maine",1174509542,C
Northeast,New England,Maine,1385340.0,"Casco, Maine","https://en.wikipedia.org/wiki/Casco,_Maine",1166017394,C
Northeast,New England,Maine,1385340.0,"Castine, Maine","https://en.wikipedia.org/wiki/Castine,_Maine",1166017420,C
Northeast,New England,Maine,1385340.0,"Castle Hill, Maine","https://en.wikipedia.org/wiki/Castle_Hill,_Maine",1175601537,Start
Northeast,New England,Maine,1385340.0,"Caswell, Maine","https://en.wikipedia.org/wiki/Caswell,_Maine",1174509669,Start
Northeast,New England,Maine,1385340.0,"Chapman, Maine","https://en.wikipedia.org/wiki/Chapman,_Maine",1174509749,Start
Northeast,New England,Maine,1385340.0,"Charleston, Maine","https://en.wikipedia.org/wiki/Charleston,_Maine",1174509761,C
Northeast,New England,Maine,1385340.0,"Charlotte, Maine","https://en.wikipedia.org/wiki/Charlotte,_Maine",1174509782,Start
Northeast,New England,Maine,1385340.0,"Chebeague Island, Maine","https://en.wikipedia.org/wiki/Chebeague_Island,_Maine",1179338133,Stub
Northeast,New England,Maine,1385340.0,"Chelsea, Maine","https://en.wikipedia.org/wiki/Chelsea,_Maine",1166017723,C
Northeast,New England,Maine,1385340.0,"Cherryfield, Maine","https://en.wikipedia.org/wiki/Cherryfield,_Maine",1174509807,C
Northeast,New England,Maine,1385340.0,"Chester, Maine","https://en.wikipedia.org/wiki/Chester,_Maine",1175424576,Start
Northeast,New England,Maine,1385340.0,"Chesterville, Maine","https://en.wikipedia.org/wiki/Chesterville,_Maine",1166017837,Start
Northeast,New England,Maine,1385340.0,"China, Maine","https://en.wikipedia.org/wiki/China,_Maine",1179295350,C
Northeast,New England,Maine,1385340.0,"Clifton, Maine","https://en.wikipedia.org/wiki/Clifton,_Maine",1174509845,Start
Northeast,New England,Maine,1385340.0,"Clinton, Maine","https://en.wikipedia.org/wiki/Clinton,_Maine",1157724738,C
Northeast,New England,Maine,1385340.0,"Columbia, Maine","https://en.wikipedia.org/wiki/Columbia,_Maine",1174509914,C
Northeast,New England,Maine,1385340.0,"Columbia Falls, Maine","https://en.wikipedia.org/wiki/Columbia_Falls,_Maine",1174509903,C
Northeast,New England,Maine,1385340.0,"Cooper, Maine","https://en.wikipedia.org/wiki/Cooper,_Maine",1174509958,Start
Northeast,New England,Maine,1385340.0,"Coplin Plantation, Maine","https://en.wikipedia.org/wiki/Coplin_Plantation,_Maine",1178264810,Start
Northeast,New England,Maine,1385340.0,"Corinna, Maine","https://en.wikipedia.org/wiki/Corinna,_Maine",1174510003,C
Northeast,New England,Maine,1385340.0,"Corinth, Maine","https://en.wikipedia.org/wiki/Corinth,_Maine",1166018827,C
Northeast,New England,Maine,1385340.0,"Cornish, Maine","https://en.wikipedia.org/wiki/Cornish,_Maine",1166018855,C
Northeast,New England,Maine,1385340.0,"Cornville, Maine","https://en.wikipedia.org/wiki/Cornville,_Maine",1180073325,Start
Northeast,New England,Maine,1385340.0,"Cranberry Isles, Maine","https://en.wikipedia.org/wiki/Cranberry_Isles,_Maine",1166019043,Start
Northeast,New England,Maine,1385340.0,"Crawford, Maine","https://en.wikipedia.org/wiki/Crawford,_Maine",1174510039,Start
Northeast,New England,Maine,1385340.0,"Crystal, Maine","https://en.wikipedia.org/wiki/Crystal,_Maine",1114983838,Start
Northeast,New England,Maine,1385340.0,"Cumberland, Maine","https://en.wikipedia.org/wiki/Cumberland,_Maine",1166066239,C
Northeast,New England,Maine,1385340.0,"Cushing, Maine","https://en.wikipedia.org/wiki/Cushing,_Maine",1166066258,C
Northeast,New England,Maine,1385340.0,"Cutler, Maine","https://en.wikipedia.org/wiki/Cutler,_Maine",1174510065,C
Northeast,New England,Maine,1385340.0,"Cyr Plantation, Maine","https://en.wikipedia.org/wiki/Cyr_Plantation,_Maine",1178265181,Start
Northeast,New England,Maine,1385340.0,"Dallas Plantation, Maine","https://en.wikipedia.org/wiki/Dallas_Plantation,_Maine",1178265379,Start
Northeast,New England,Maine,1385340.0,"Damariscotta, Maine","https://en.wikipedia.org/wiki/Damariscotta,_Maine",1166066337,C
Northeast,New England,Maine,1385340.0,"Danforth, Maine","https://en.wikipedia.org/wiki/Danforth,_Maine",1155334199,Start
Northeast,New England,Maine,1385340.0,"Dayton, Maine","https://en.wikipedia.org/wiki/Dayton,_Maine",1166066490,C
Northeast,New England,Maine,1385340.0,"Deblois, Maine","https://en.wikipedia.org/wiki/Deblois,_Maine",1174510114,Start
Northeast,New England,Maine,1385340.0,"Dedham, Maine","https://en.wikipedia.org/wiki/Dedham,_Maine",1166066540,C
Northeast,New England,Maine,1385340.0,"Deer Isle, Maine","https://en.wikipedia.org/wiki/Deer_Isle,_Maine",1168734367,GA
Northeast,New England,Maine,1385340.0,"Denmark, Maine","https://en.wikipedia.org/wiki/Denmark,_Maine",1166066714,C
Northeast,New England,Maine,1385340.0,"Dennistown, Maine","https://en.wikipedia.org/wiki/Dennistown,_Maine",1174510122,Start
Northeast,New England,Maine,1385340.0,"Dennysville, Maine","https://en.wikipedia.org/wiki/Dennysville,_Maine",1166066723,Start
Northeast,New England,Maine,1385340.0,"Detroit, Maine","https://en.wikipedia.org/wiki/Detroit,_Maine",1174510146,Start
Northeast,New England,Maine,1385340.0,"Dexter, Maine","https://en.wikipedia.org/wiki/Dexter,_Maine",1166066797,C
Northeast,New England,Maine,1385340.0,"Dixfield, Maine","https://en.wikipedia.org/wiki/Dixfield,_Maine",1162921623,C
Northeast,New England,Maine,1385340.0,"Dixmont, Maine","https://en.wikipedia.org/wiki/Dixmont,_Maine",1174510167,C
Northeast,New England,Maine,1385340.0,"Dover-Foxcroft, Maine","https://en.wikipedia.org/wiki/Dover-Foxcroft,_Maine",1168232602,GA
Northeast,New England,Maine,1385340.0,"Dresden, Maine","https://en.wikipedia.org/wiki/Dresden,_Maine",1174510182,C
Northeast,New England,Maine,1385340.0,"Drew Plantation, Maine","https://en.wikipedia.org/wiki/Drew_Plantation,_Maine",1175674164,Stub
Northeast,New England,Maine,1385340.0,"Durham, Maine","https://en.wikipedia.org/wiki/Durham,_Maine",1166067164,C
Northeast,New England,Maine,1385340.0,"Dyer Brook, Maine","https://en.wikipedia.org/wiki/Dyer_Brook,_Maine",1174510207,Start
Northeast,New England,Maine,1385340.0,"Eagle Lake, Maine","https://en.wikipedia.org/wiki/Eagle_Lake,_Maine",1174510216,C
Northeast,New England,Maine,1385340.0,"East Machias, Maine","https://en.wikipedia.org/wiki/East_Machias,_Maine",1174510316,Start
Northeast,New England,Maine,1385340.0,"East Millinocket, Maine","https://en.wikipedia.org/wiki/East_Millinocket,_Maine",1156611324,C
Northeast,New England,Maine,1385340.0,"Eastbrook, Maine","https://en.wikipedia.org/wiki/Eastbrook,_Maine",1174510338,C
Northeast,New England,Maine,1385340.0,"Easton, Maine","https://en.wikipedia.org/wiki/Easton,_Maine",1166067301,GA
Northeast,New England,Maine,1385340.0,"Eastport, Maine","https://en.wikipedia.org/wiki/Eastport,_Maine",1177290475,C
Northeast,New England,Maine,1385340.0,"Eddington, Maine","https://en.wikipedia.org/wiki/Eddington,_Maine",1166067447,C
Northeast,New England,Maine,1385340.0,"Edgecomb, Maine","https://en.wikipedia.org/wiki/Edgecomb,_Maine",1171733751,C
Northeast,New England,Maine,1385340.0,"Edinburg, Maine","https://en.wikipedia.org/wiki/Edinburg,_Maine",1174510361,Start
Northeast,New England,Maine,1385340.0,"Eliot, Maine","https://en.wikipedia.org/wiki/Eliot,_Maine",1166059780,C
Northeast,New England,Maine,1385340.0,"Ellsworth, Maine","https://en.wikipedia.org/wiki/Ellsworth,_Maine",1165844989,C
Northeast,New England,Maine,1385340.0,"Embden, Maine","https://en.wikipedia.org/wiki/Embden,_Maine",1166067680,GA
Northeast,New England,Maine,1385340.0,"Enfield, Maine","https://en.wikipedia.org/wiki/Enfield,_Maine",1166067717,GA
Northeast,New England,Maine,1385340.0,"Etna, Maine","https://en.wikipedia.org/wiki/Etna,_Maine",1174510390,C
Northeast,New England,Maine,1385340.0,"Eustis, Maine","https://en.wikipedia.org/wiki/Eustis,_Maine",1174510423,C
Northeast,New England,Maine,1385340.0,"Exeter, Maine","https://en.wikipedia.org/wiki/Exeter,_Maine",1174510442,C
Northeast,New England,Maine,1385340.0,"Fairfield, Maine","https://en.wikipedia.org/wiki/Fairfield,_Maine",1157089080,C
Northeast,New England,Maine,1385340.0,"Falmouth, Maine","https://en.wikipedia.org/wiki/Falmouth,_Maine",1168616013,C
Northeast,New England,Maine,1385340.0,"Farmingdale, Maine","https://en.wikipedia.org/wiki/Farmingdale,_Maine",1157724651,C
Northeast,New England,Maine,1385340.0,"Farmington, Maine","https://en.wikipedia.org/wiki/Farmington,_Maine",1169888444,C
Northeast,New England,Maine,1385340.0,"Fayette, Maine","https://en.wikipedia.org/wiki/Fayette,_Maine",1174510465,C
Northeast,New England,Maine,1385340.0,"Fort Fairfield, Maine","https://en.wikipedia.org/wiki/Fort_Fairfield,_Maine",1179350992,C
Northeast,New England,Maine,1385340.0,"Fort Kent, Maine","https://en.wikipedia.org/wiki/Fort_Kent,_Maine",1177095521,GA
Northeast,New England,Maine,1385340.0,"Frankfort, Maine","https://en.wikipedia.org/wiki/Frankfort,_Maine",1174510487,C
Northeast,New England,Maine,1385340.0,"Franklin, Maine","https://en.wikipedia.org/wiki/Franklin,_Maine",1166068638,C
Northeast,New England,Maine,1385340.0,"Freedom, Maine","https://en.wikipedia.org/wiki/Freedom,_Maine",1174510512,C
Northeast,New England,Maine,1385340.0,"Freeport, Maine","https://en.wikipedia.org/wiki/Freeport,_Maine",1178533899,C
Northeast,New England,Maine,1385340.0,"Frenchboro, Maine","https://en.wikipedia.org/wiki/Frenchboro,_Maine",1174510526,C
Northeast,New England,Maine,1385340.0,"Frenchville, Maine","https://en.wikipedia.org/wiki/Frenchville,_Maine",1177094767,C
Northeast,New England,Maine,1385340.0,"Friendship, Maine","https://en.wikipedia.org/wiki/Friendship,_Maine",1167072942,C
Northeast,New England,Maine,1385340.0,"Frye Island, Maine","https://en.wikipedia.org/wiki/Frye_Island,_Maine",1179343555,C
Northeast,New England,Maine,1385340.0,"Fryeburg, Maine","https://en.wikipedia.org/wiki/Fryeburg,_Maine",1159284235,C
Northeast,New England,Maine,1385340.0,"Gardiner, Maine","https://en.wikipedia.org/wiki/Gardiner,_Maine",1172664106,C
Northeast,New England,Maine,1385340.0,"Garfield Plantation, Maine","https://en.wikipedia.org/wiki/Garfield_Plantation,_Maine",1132675697,Start
Northeast,New England,Maine,1385340.0,"Garland, Maine","https://en.wikipedia.org/wiki/Garland,_Maine",1174510575,C
Northeast,New England,Maine,1385340.0,"Georgetown, Maine","https://en.wikipedia.org/wiki/Georgetown,_Maine",1132676255,C
Northeast,New England,Maine,1385340.0,"Gilead, Maine","https://en.wikipedia.org/wiki/Gilead,_Maine",1174510610,C
Northeast,New England,Maine,1385340.0,"Glenburn, Maine","https://en.wikipedia.org/wiki/Glenburn,_Maine",1156530098,Start
Northeast,New England,Maine,1385340.0,"Glenwood Plantation, Maine","https://en.wikipedia.org/wiki/Glenwood_Plantation,_Maine",1177198643,Start
Northeast,New England,Maine,1385340.0,"Gorham, Maine","https://en.wikipedia.org/wiki/Gorham,_Maine",1174705390,C
Northeast,New England,Maine,1385340.0,"Gouldsboro, Maine","https://en.wikipedia.org/wiki/Gouldsboro,_Maine",1178367472,C
Northeast,New England,Maine,1385340.0,"Grand Isle, Maine","https://en.wikipedia.org/wiki/Grand_Isle,_Maine",1174510625,Start
Northeast,New England,Maine,1385340.0,"Grand Lake Stream, Maine","https://en.wikipedia.org/wiki/Grand_Lake_Stream,_Maine",1175405392,C
Northeast,New England,Maine,1385340.0,"Gray, Maine","https://en.wikipedia.org/wiki/Gray,_Maine",1166069776,C
Northeast,New England,Maine,1385340.0,"Great Pond, Maine","https://en.wikipedia.org/wiki/Great_Pond,_Maine",1166069785,Start
Northeast,New England,Maine,1385340.0,"Greenbush, Maine","https://en.wikipedia.org/wiki/Greenbush,_Maine",1166179958,Start
Northeast,New England,Maine,1385340.0,"Greene, Maine","https://en.wikipedia.org/wiki/Greene,_Maine",1166179969,C
Northeast,New England,Maine,1385340.0,"Greenville, Maine","https://en.wikipedia.org/wiki/Greenville,_Maine",1166180034,GA
Northeast,New England,Maine,1385340.0,"Greenwood, Maine","https://en.wikipedia.org/wiki/Greenwood,_Maine",1174510655,C
Northeast,New England,Maine,1385340.0,"Guilford, Maine","https://en.wikipedia.org/wiki/Guilford,_Maine",1159401295,C
Northeast,New England,Maine,1385340.0,"Hallowell, Maine","https://en.wikipedia.org/wiki/Hallowell,_Maine",1175892685,C
Northeast,New England,Maine,1385340.0,"Hamlin, Maine","https://en.wikipedia.org/wiki/Hamlin,_Maine",1174510675,Start
Northeast,New England,Maine,1385340.0,"Hammond, Maine","https://en.wikipedia.org/wiki/Hammond,_Maine",1175362182,Start
Northeast,New England,Maine,1385340.0,"Hampden, Maine","https://en.wikipedia.org/wiki/Hampden,_Maine",1175397834,C
Northeast,New England,Maine,1385340.0,"Hancock, Maine","https://en.wikipedia.org/wiki/Hancock,_Maine",1166180401,C
Northeast,New England,Maine,1385340.0,"Hanover, Maine","https://en.wikipedia.org/wiki/Hanover,_Maine",1166180443,C
Northeast,New England,Maine,1385340.0,"Harmony, Maine","https://en.wikipedia.org/wiki/Harmony,_Maine",1174510722,C
Northeast,New England,Maine,1385340.0,"Harpswell, Maine","https://en.wikipedia.org/wiki/Harpswell,_Maine",1178425891,C
Northeast,New England,Maine,1385340.0,"Harrington, Maine","https://en.wikipedia.org/wiki/Harrington,_Maine",1166180553,C
Northeast,New England,Maine,1385340.0,"Harrison, Maine","https://en.wikipedia.org/wiki/Harrison,_Maine",1166180576,GA
Northeast,New England,Maine,1385340.0,"Hartford, Maine","https://en.wikipedia.org/wiki/Hartford,_Maine",1174510749,Start
Northeast,New England,Maine,1385340.0,"Hartland, Maine","https://en.wikipedia.org/wiki/Hartland,_Maine",1157091720,C
Northeast,New England,Maine,1385340.0,"Haynesville, Maine","https://en.wikipedia.org/wiki/Haynesville,_Maine",1174412908,Start
Northeast,New England,Maine,1385340.0,"Hebron, Maine","https://en.wikipedia.org/wiki/Hebron,_Maine",1174510767,C
Northeast,New England,Maine,1385340.0,"Hermon, Maine","https://en.wikipedia.org/wiki/Hermon,_Maine",1166180906,C
Northeast,New England,Maine,1385340.0,"Hersey, Maine","https://en.wikipedia.org/wiki/Hersey,_Maine",1174510793,Start
Northeast,New England,Maine,1385340.0,"Highland Plantation, Maine","https://en.wikipedia.org/wiki/Highland_Plantation,_Maine",1178266072,Start
Northeast,New England,Maine,1385340.0,"Hiram, Maine","https://en.wikipedia.org/wiki/Hiram,_Maine",1174510851,C
Northeast,New England,Maine,1385340.0,"Hodgdon, Maine","https://en.wikipedia.org/wiki/Hodgdon,_Maine",1174510890,C
Northeast,New England,Maine,1385340.0,"Holden, Maine","https://en.wikipedia.org/wiki/Holden,_Maine",1166181187,Start
Northeast,New England,Maine,1385340.0,"Hollis, Maine","https://en.wikipedia.org/wiki/Hollis,_Maine",1173831578,C
Northeast,New England,Maine,1385340.0,"Hope, Maine","https://en.wikipedia.org/wiki/Hope,_Maine",1166181363,C
Northeast,New England,Maine,1385340.0,"Houlton, Maine","https://en.wikipedia.org/wiki/Houlton,_Maine",1174160140,GA
Northeast,New England,Maine,1385340.0,"Howland, Maine","https://en.wikipedia.org/wiki/Howland,_Maine",1174510915,C
Northeast,New England,Maine,1385340.0,"Hudson, Maine","https://en.wikipedia.org/wiki/Hudson,_Maine",1166181491,C
Northeast,New England,Maine,1385340.0,"Industry, Maine","https://en.wikipedia.org/wiki/Industry,_Maine",1174510928,Start
Northeast,New England,Maine,1385340.0,"Island Falls, Maine","https://en.wikipedia.org/wiki/Island_Falls,_Maine",1166181751,Start
Northeast,New England,Maine,1385340.0,"Isle au Haut, Maine","https://en.wikipedia.org/wiki/Isle_au_Haut,_Maine",1177218916,GA
Northeast,New England,Maine,1385340.0,"Islesboro, Maine","https://en.wikipedia.org/wiki/Islesboro,_Maine",1170788712,C
Northeast,New England,Maine,1385340.0,"Jackman, Maine","https://en.wikipedia.org/wiki/Jackman,_Maine",1179546053,C
Northeast,New England,Maine,1385340.0,"Jackson, Maine","https://en.wikipedia.org/wiki/Jackson,_Maine",1174510984,C
Northeast,New England,Maine,1385340.0,"Jay, Maine","https://en.wikipedia.org/wiki/Jay,_Maine",1176339097,GA
Northeast,New England,Maine,1385340.0,"Jefferson, Maine","https://en.wikipedia.org/wiki/Jefferson,_Maine",1166181954,C
Northeast,New England,Maine,1385340.0,"Jonesboro, Maine","https://en.wikipedia.org/wiki/Jonesboro,_Maine",1174511009,C
Northeast,New England,Maine,1385340.0,"Jonesport, Maine","https://en.wikipedia.org/wiki/Jonesport,_Maine",1178147038,C
Northeast,New England,Maine,1385340.0,"Kenduskeag, Maine","https://en.wikipedia.org/wiki/Kenduskeag,_Maine",1166182207,Start
Northeast,New England,Maine,1385340.0,"Kennebunk, Maine","https://en.wikipedia.org/wiki/Kennebunk,_Maine",1172898961,C
Northeast,New England,Maine,1385340.0,"Kennebunkport, Maine","https://en.wikipedia.org/wiki/Kennebunkport,_Maine",1177472944,C
Northeast,New England,Maine,1385340.0,"Kingfield, Maine","https://en.wikipedia.org/wiki/Kingfield,_Maine",1174511039,C
Northeast,New England,Maine,1385340.0,"Kingsbury Plantation, Maine","https://en.wikipedia.org/wiki/Kingsbury_Plantation,_Maine",1174511082,C
Northeast,New England,Maine,1385340.0,"Kittery, Maine","https://en.wikipedia.org/wiki/Kittery,_Maine",1176239816,C
Northeast,New England,Maine,1385340.0,"Knox, Maine","https://en.wikipedia.org/wiki/Knox,_Maine",1166182593,C
Northeast,New England,Maine,1385340.0,"Lagrange, Maine","https://en.wikipedia.org/wiki/Lagrange,_Maine",1174511104,C
Northeast,New England,Maine,1385340.0,"Lake View Plantation, Maine","https://en.wikipedia.org/wiki/Lake_View_Plantation,_Maine",1174511115,Start
